sep=,
time,epoch,test_loss,train_loss
2019-09-02 14:19:31,0,103.711,103.711
2019-09-02 14:20:17,10,71.5079,71.5079
2019-09-02 14:21:04,20,61.5123,61.5123
2019-09-02 14:21:50,30,52.747,52.747
2019-09-02 14:22:39,40,46.7196,46.7196
2019-09-02 14:23:30,50,41.7457,41.7457
2019-09-02 14:24:19,60,37.3154,37.3154
2019-09-02 14:25:08,70,33.5512,33.5512
2019-09-02 14:25:57,80,30.328,30.328
2019-09-02 14:26:45,90,27.5397,27.5397
