sep=,
time,epoch,train_loss,test_loss
2019-09-27 13:41:24,0,0.0138135,0.0138111
2019-09-27 13:43:40,1,0.000567767,0.000561643
2019-09-27 13:45:55,2,0.000507006,0.000600944
2019-09-27 13:48:11,3,0.000475462,0.000665605
2019-09-27 13:50:27,4,0.000402985,0.000726816
2019-09-27 13:52:43,5,0.000375056,0.000750728
2019-09-27 13:54:59,6,0.000367183,0.000768979
2019-09-27 13:57:15,7,0.000365322,0.000782498
2019-09-27 13:59:30,8,0.000359508,0.000808488
2019-09-27 14:01:46,9,0.000356138,0.000833384
2019-09-27 14:04:02,10,0.000355738,0.000836206
2019-09-27 14:06:17,11,0.00034849,0.000858523
2019-09-27 14:08:33,12,0.000346931,0.00087457
2019-09-27 14:10:49,13,0.000346391,0.000866595
2019-09-27 14:13:16,14,0.000338686,0.000905324
2019-09-27 14:15:39,15,0.000341855,0.000900021
2019-09-27 14:18:00,16,0.000336509,0.000932771
2019-09-27 14:20:20,17,0.000340028,0.000918266
2019-09-27 14:22:41,18,0.000335988,0.000944879
2019-09-27 14:24:59,19,0.000329547,0.000977029
2019-09-27 14:27:20,20,0.000326885,0.000972299
2019-09-27 14:29:43,21,0.000327282,0.000990751
2019-09-27 14:32:05,22,0.000321994,0.00100404
2019-09-27 14:34:24,23,0.000320387,0.00100977
2019-09-27 14:36:38,24,0.000318102,0.00101352
2019-09-27 14:38:58,25,0.000316055,0.00100965
2019-09-27 14:41:14,26,0.00031775,0.00102149
2019-09-27 14:43:31,27,0.000314559,0.00103233
2019-09-27 14:45:46,28,0.000311588,0.00104617
2019-09-27 14:48:02,29,0.000309744,0.00105781
