sep=,
time,epoch,train_loss,test_loss
2019-09-27 14:52:06,0,0.0133855,0.0133708
2019-09-27 14:54:24,1,0.00122054,0.00113252
2019-09-27 14:56:41,2,0.0011539,0.00121969
2019-09-27 14:58:59,3,0.00114923,0.00147891
2019-09-27 15:01:16,4,0.00110376,0.00156259
2019-09-27 15:03:33,5,0.000923421,0.00168018
2019-09-27 15:05:50,6,0.000864334,0.0018973
2019-09-27 15:08:07,7,0.000854119,0.00220206
2019-09-27 15:10:24,8,0.000886559,0.00223894
2019-09-27 15:12:41,9,0.000854011,0.00231712
2019-09-27 15:14:59,10,0.000850729,0.00237712
2019-09-27 15:17:16,11,0.000839396,0.00246444
2019-09-27 15:19:33,12,0.000808332,0.00234472
2019-09-27 15:21:48,13,0.000817668,0.00248464
2019-09-27 15:24:04,14,0.000806059,0.00248761
2019-09-27 15:26:21,15,0.000811867,0.00253221
2019-09-27 15:28:37,16,0.000794996,0.00244147
2019-09-27 15:30:52,17,0.000827264,0.00247582
2019-09-27 15:33:08,18,0.000791489,0.00248919
2019-09-27 15:35:24,19,0.000783605,0.00244829
2019-09-27 15:37:41,20,0.000827092,0.00249884
2019-09-27 15:39:57,21,0.000809694,0.00250106
2019-09-27 15:42:13,22,0.000803959,0.00245441
2019-09-27 15:44:29,23,0.000781917,0.0024755
2019-09-27 15:46:45,24,0.000789157,0.00248785
2019-09-27 15:49:01,25,0.000770396,0.0024702
2019-09-27 15:51:17,26,0.000763264,0.00246029
2019-09-27 15:53:32,27,0.000788535,0.00246337
2019-09-27 15:55:49,28,0.00074887,0.00239848
2019-09-27 15:58:05,29,0.000748259,0.002387
