sep=,
time,epoch,test_loss,train_loss
2019-08-22 18:15:54,0,0.227012,0.22767
2019-08-22 18:16:06,10,0.229276,0.239405
2019-08-22 18:16:18,20,0.224741,0.233024
2019-08-22 18:16:30,30,0.225752,0.221879
2019-08-22 18:16:42,40,0.221904,0.227022
2019-08-22 18:16:54,50,0.225565,0.228871
2019-08-22 18:17:06,60,0.22499,0.225113
2019-08-22 18:17:19,70,0.215585,0.21977
2019-08-22 18:17:31,80,0.217904,0.219507
2019-08-22 18:17:43,90,0.204761,0.221027
2019-08-22 18:17:55,100,0.203945,0.200598
2019-08-22 18:18:07,110,0.205974,0.189737
2019-08-22 18:18:19,120,0.193204,0.191279
2019-08-22 18:18:31,130,0.155072,0.180396
2019-08-22 18:18:44,140,0.188346,0.174944
2019-08-22 18:18:56,150,0.20622,0.198969
2019-08-22 18:19:08,160,0.186855,0.190807
2019-08-22 18:19:20,170,0.173469,0.170422
2019-08-22 18:19:32,180,0.188077,0.196661
2019-08-22 18:19:44,190,0.181834,0.202619
2019-08-22 18:19:56,200,0.154319,0.197693
2019-08-22 18:20:09,210,0.174186,0.187098
2019-08-22 18:20:20,220,0.188999,0.166114
2019-08-22 18:20:32,230,0.157723,0.200692
2019-08-22 18:20:45,240,0.203004,0.154006
2019-08-22 18:20:59,250,0.169819,0.165537
2019-08-22 18:21:10,260,0.182073,0.177063
2019-08-22 18:21:24,270,0.200005,0.151079
2019-08-22 18:21:37,280,0.161782,0.158812
2019-08-22 18:21:50,290,0.160331,0.183717
2019-08-22 18:22:03,300,0.1717,0.184629
2019-08-22 18:22:15,310,0.146677,0.149322
2019-08-22 18:22:29,320,0.166117,0.175903
2019-08-22 18:22:41,330,0.168885,0.162638
2019-08-22 18:22:54,340,0.183348,0.188363
2019-08-22 18:23:07,350,0.164329,0.188852
2019-08-22 18:23:19,360,0.184616,0.181311
2019-08-22 18:23:32,370,0.180574,0.145932
2019-08-22 18:23:45,380,0.18961,0.174503
2019-08-22 18:23:57,390,0.167696,0.153568
2019-08-22 18:24:10,400,0.187917,0.158425
2019-08-22 18:24:22,410,0.185359,0.173662
2019-08-22 18:24:35,420,0.144386,0.152413
2019-08-22 18:24:48,430,0.163247,0.140611
2019-08-22 18:25:00,440,0.155731,0.14984
2019-08-22 18:25:13,450,0.135207,0.152806
2019-08-22 18:25:25,460,0.143984,0.14144
2019-08-22 18:25:38,470,0.164304,0.140399
2019-08-22 18:25:51,480,0.185152,0.160004
2019-08-22 18:26:03,490,0.181289,0.140054
2019-08-22 18:26:16,500,0.158519,0.195826
2019-08-22 18:26:29,510,0.156247,0.133169
2019-08-22 18:26:42,520,0.194018,0.150737
2019-08-22 18:26:55,530,0.143377,0.143851
2019-08-22 18:27:08,540,0.135974,0.175202
2019-08-22 18:27:20,550,0.185207,0.13138
2019-08-22 18:27:33,560,0.168488,0.159581
2019-08-22 18:27:45,570,0.164117,0.155792
2019-08-22 18:27:58,580,0.143759,0.13638
2019-08-22 18:28:10,590,0.176169,0.150624
2019-08-22 18:28:23,600,0.161948,0.15646
2019-08-22 18:28:35,610,0.150673,0.206717
2019-08-22 18:28:48,620,0.145878,0.178003
2019-08-22 18:29:00,630,0.176545,0.1713
2019-08-22 18:29:13,640,0.155706,0.160599
2019-08-22 18:29:26,650,0.178627,0.17775
2019-08-22 18:29:38,660,0.151736,0.133085
2019-08-22 18:29:51,670,0.156118,0.185362
2019-08-22 18:30:03,680,0.136155,0.145682
2019-08-22 18:30:16,690,0.165495,0.153968
2019-08-22 18:30:28,700,0.164455,0.115979
2019-08-22 18:30:41,710,0.168588,0.139375
