sep=,
time,epoch,train_loss,test_loss
2019-09-28 09:15:30,0,0.0136208,0.0136069
2019-09-28 09:17:56,1,0.000108412,3.41222e-05
2019-09-28 09:20:24,2,0.0001098,3.31934e-05
2019-09-28 09:22:51,3,0.000107282,3.10281e-05
2019-09-28 09:25:18,4,0.000103663,2.93071e-05
2019-09-28 09:27:46,5,9.63465e-05,2.64961e-05
2019-09-28 09:30:14,6,8.97019e-05,2.35806e-05
2019-09-28 09:32:42,7,8.53178e-05,2.19025e-05
2019-09-28 09:35:08,8,7.76656e-05,1.93837e-05
2019-09-28 09:37:36,9,7.37138e-05,1.79904e-05
2019-09-28 09:40:04,10,7.11016e-05,1.65661e-05
2019-09-28 09:42:31,11,6.88477e-05,1.62635e-05
2019-09-28 09:44:59,12,6.6993e-05,1.48869e-05
2019-09-28 09:47:26,13,6.31392e-05,1.47129e-05
2019-09-28 09:49:54,14,6.23204e-05,1.41722e-05
2019-09-28 09:52:21,15,5.91212e-05,1.30933e-05
2019-09-28 09:54:49,16,5.58526e-05,1.22795e-05
2019-09-28 09:57:16,17,5.54197e-05,1.27208e-05
2019-09-28 09:59:44,18,5.38093e-05,1.21586e-05
2019-09-28 10:02:11,19,5.22555e-05,1.19323e-05
2019-09-28 10:04:39,20,5.14469e-05,1.16754e-05
2019-09-28 10:07:08,21,5.0098e-05,1.14841e-05
2019-09-28 10:09:34,22,4.86447e-05,1.16099e-05
2019-09-28 10:11:59,23,4.58251e-05,1.11796e-05
2019-09-28 10:14:25,24,4.70439e-05,1.15256e-05
2019-09-28 10:16:50,25,4.57304e-05,1.14694e-05
2019-09-28 10:19:15,26,4.4182e-05,1.15524e-05
2019-09-28 10:21:40,27,4.34686e-05,1.14325e-05
2019-09-28 10:24:08,28,4.1684e-05,1.02654e-05
2019-09-28 10:26:36,29,4.26549e-05,1.16046e-05
