TP;TN;FN;FP;
4483;102;555;42562;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100.pt
478;4107;2810;40307;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_0.pt
3615;970;595;42522;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_1.pt
3888;697;543;42574;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_10.pt
3845;740;583;42534;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_11.pt
3857;728;542;42575;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_12.pt
3870;715;540;42577;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_13.pt
3883;702;542;42575;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_14.pt
3878;707;542;42575;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_15.pt
3879;706;542;42575;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_16.pt
3885;700;542;42575;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_17.pt
3891;694;543;42574;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_18.pt
3874;711;541;42576;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_19.pt
3615;970;595;42522;data\trainings_results\models\R2a_evaluate_fux_rules_from_two_sides_rule_targets\R2a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_2.pt
