TP;TN;FN;FP;
31;224;176;47271;data\trainings_results\models\R4a_evaluate_fux_rules_from_two_sides_rule_targets\R4a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100.pt
0;255;0;47447;data\trainings_results\models\R4a_evaluate_fux_rules_from_two_sides_rule_targets\R4a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_0.pt
0;255;0;47447;data\trainings_results\models\R4a_evaluate_fux_rules_from_two_sides_rule_targets\R4a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_1.pt
29;226;222;47225;data\trainings_results\models\R4a_evaluate_fux_rules_from_two_sides_rule_targets\R4a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_10.pt
30;225;274;47173;data\trainings_results\models\R4a_evaluate_fux_rules_from_two_sides_rule_targets\R4a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_11.pt
35;220;261;47186;data\trainings_results\models\R4a_evaluate_fux_rules_from_two_sides_rule_targets\R4a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_12.pt
35;220;350;47097;data\trainings_results\models\R4a_evaluate_fux_rules_from_two_sides_rule_targets\R4a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_13.pt
37;218;333;47114;data\trainings_results\models\R4a_evaluate_fux_rules_from_two_sides_rule_targets\R4a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_14.pt
39;216;300;47147;data\trainings_results\models\R4a_evaluate_fux_rules_from_two_sides_rule_targets\R4a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_15.pt
27;228;167;47280;data\trainings_results\models\R4a_evaluate_fux_rules_from_two_sides_rule_targets\R4a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_16.pt
