TP;TN;FN;FP;
0;499;37;47166;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\000_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;499;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\001_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
10;489;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\002_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
122;377;9;47194;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\003_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
265;234;9;47194;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\004_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
376;123;5;47198;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\005_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
421;78;6;47197;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\006_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
440;59;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\007_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
445;54;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\008_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
441;58;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\009_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
445;54;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\010_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
445;54;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\011_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
445;54;1;47202;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\012_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
445;54;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\013_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
446;53;1;47202;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\014_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
446;53;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\015_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
446;53;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\016_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
446;53;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\017_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
448;51;2;47201;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\018_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
448;51;1;47202;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\019_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
449;50;3;47200;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\020_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
450;49;4;47199;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\021_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
451;48;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\022_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
450;49;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\023_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
451;48;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\024_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
457;42;5;47198;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\025_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
457;42;3;47200;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\026_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
458;41;0;47203;data\trainings_results\models\R6b_evaluate_fux_rules_from_two_sides_rule_targets\027_epoch_R6b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
