TP;TN;FN;FP;
6115;189;15;41383;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100.pt
5924;380;38832;2566;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_0.pt
753;5551;1324;40074;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_1.pt
5711;593;162;41236;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_10.pt
6081;223;814;40584;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_11.pt
5927;377;179;41219;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_12.pt
6001;303;382;41016;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_13.pt
5914;390;170;41228;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_14.pt
6088;216;418;40980;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_15.pt
5902;402;150;41248;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_16.pt
5984;320;71;41327;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_17.pt
6082;222;67;41331;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_18.pt
6036;268;119;41279;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_19.pt
359;5945;600;40798;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_2.pt
5903;401;58;41340;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_20.pt
6060;244;33;41365;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_21.pt
5897;407;26;41372;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_22.pt
5954;350;21;41377;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_23.pt
5893;411;15;41383;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_24.pt
6090;214;16;41382;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_25.pt
6148;156;21;41377;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_26.pt
6072;232;67;41331;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_27.pt
5983;321;11;41387;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_28.pt
6056;248;14;41384;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_29.pt
5679;625;2215;39183;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_3.pt
5940;364;2313;39085;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_4.pt
5910;394;880;40518;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_5.pt
5719;585;1274;40124;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_6.pt
5971;333;1069;40329;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_7.pt
5847;457;747;40651;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_8.pt
5985;319;663;40735;data\trainings_results\models\R2b_evaluate_fux_rules_from_two_sides_rule_targets\R2b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_9.pt
