TP;FP;FN;FP;
830;56;526;46290;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100.pt
886;0;46816;0;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_0.pt
594;292;3223;43593;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_1.pt
824;62;2125;44691;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_10.pt
808;78;1640;45176;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_11.pt
847;39;1379;45437;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_12.pt
794;92;946;45870;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_13.pt
838;48;991;45825;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_14.pt
798;88;745;46071;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_15.pt
784;102;705;46111;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_16.pt
836;50;848;45968;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_17.pt
787;99;575;46241;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_18.pt
839;47;777;46039;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_19.pt
609;277;3309;43507;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_2.pt
815;71;544;46272;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_20.pt
849;37;707;46109;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_21.pt
835;51;548;46268;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_22.pt
824;62;554;46262;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_23.pt
839;47;617;46199;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_24.pt
840;46;612;46204;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_25.pt
833;53;576;46240;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_26.pt
813;73;474;46342;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_27.pt
832;54;583;46233;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_28.pt
837;49;568;46248;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_29.pt
812;74;3515;43301;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_3.pt
886;0;3114;43702;data\trainings_results\models\R1_evaluate_fux_rules_from_two_sides_rule_targets\R1_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_4.pt
