TP;TN;FN;FP;
10840;49;750;36063;data\trainings_results\models\R2_evaluate_fux_rules_from_two_sides_rule_targets\R2_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100.pt
0;10889;0;36813;data\trainings_results\models\R2_evaluate_fux_rules_from_two_sides_rule_targets\R2_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_0.pt
7283;3606;5304;31509;data\trainings_results\models\R2_evaluate_fux_rules_from_two_sides_rule_targets\R2_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_1.pt
10716;173;675;36138;data\trainings_results\models\R2_evaluate_fux_rules_from_two_sides_rule_targets\R2_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_10.pt
10204;685;884;35929;data\trainings_results\models\R2_evaluate_fux_rules_from_two_sides_rule_targets\R2_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_11.pt
10833;56;540;36273;data\trainings_results\models\R2_evaluate_fux_rules_from_two_sides_rule_targets\R2_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_12.pt
10829;60;1213;35600;data\trainings_results\models\R2_evaluate_fux_rules_from_two_sides_rule_targets\R2_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_13.pt
10838;51;607;36206;data\trainings_results\models\R2_evaluate_fux_rules_from_two_sides_rule_targets\R2_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_14.pt
10841;48;581;36232;data\trainings_results\models\R2_evaluate_fux_rules_from_two_sides_rule_targets\R2_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_15.pt
10840;49;672;36141;data\trainings_results\models\R2_evaluate_fux_rules_from_two_sides_rule_targets\R2_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_16.pt
