TP;TN;FN;FP;
0;828;0;46874;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\000_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;828;0;46874;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\001_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;828;0;46874;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\002_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;828;0;46874;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\003_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;828;0;46874;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\004_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;828;0;46874;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\005_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;828;0;46874;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\006_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;828;0;46874;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\007_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1;827;0;46874;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\008_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
8;820;6;46868;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\009_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
31;797;148;46726;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\010_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
44;784;178;46696;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\011_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
63;765;236;46638;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\012_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
64;764;256;46618;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\013_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
74;754;375;46499;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\014_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
83;745;386;46488;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\015_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
106;722;392;46482;data\trainings_results\models\R5a_evaluate_fux_rules_from_two_sides_rule_targets\016_epoch_R5a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
